year,id,j2051b,j2054b
2009,1318,0,0
2006,1319,20,30
2006,1321,30,30
2007,1321,30,60
2007,1323,60,0
2008,1323,60,0
2009,1323,60,0
2006,1325,40,30
2007,1325,30,0
2008,1325,40,0
2009,1325,60,30
2006,1326,0,0
2008,1326,0,0
2006,1327,0,0
2007,1327,20,60
2008,1327,0,30
2009,1327,10,60
2009,1330,0,0
2006,1331,0,60
2006,1332,0,30
2009,1332,0,60
2008,1336,0,0
2009,1336,60,0
2006,1340,0,0
2006,1350,60,60
2007,1350,40,60
2008,1350,60,90
2009,1350,60,40
2006,1351,90,20
2007,1351,160,0
2008,1351,90,0
2009,1351,0,0
2006,1352,60,0
2007,1352,50,30
2008,1352,60,60
2009,1352,80,60
2006,1360,30,90
2007,1360,40,60
2008,1360,0,0
2006,1361,30,0
2007,1361,60,0
2009,1361,40,0
2006,1362,40,0
2007,1362,30,0
2008,1362,40,0
2009,1362,30,60
2008,1363,40,0
2009,1363,40,0
2006,1373,20,0
2007,1373,0,0
2008,1373,0,0
2009,1373,0,0
2006,1375,0,0
2007,1375,0,0
2008,1375,0,0
2009,1375,0,0
2006,1385,0,0
2006,1386,20,120
2007,1386,15,90
2008,1386,30,90
2009,1386,10,30
2006,1388,15,0
2008,1388,30,60
2006,1390,40,40
2006,1391,0,0
2007,1391,60,40
2008,1391,60,60
2006,1392,35,0
2007,1392,30,20
2008,1398,0,0
2009,1398,0,0
2006,1403,0,0
2007,1403,0,0
2008,1403,0,0
2009,1403,0,0
2006,1404,0,0
2007,1404,10,0
2008,1404,20,0
2009,1404,0,0
2006,1405,0,90
2007,1406,20,60
2006,1409,0,0
2006,1414,0,0
2007,1414,0,0
2009,1414,0,0
2006,1417,0,0
2007,1417,0,0
2008,1417,0,0
2009,1417,0,0
2008,1420,0,0
2009,1420,0,0
2006,1428,0,0
2007,1428,60,0
2009,1429,60,60
2006,1432,0,0
2007,1432,0,0
2009,1432,40,0
2006,1434,0,30
2008,1434,45,60
2006,1435,0,0
2008,1435,0,0
2009,1435,30,40
2006,1437,60,0
2007,1437,60,0
2008,1437,40,0
2006,1438,0,0
2006,1440,0,0
2007,1440,0,0
2008,1440,0,0
2009,1440,0,0
2006,1441,0,0
2006,1453,0,120
2007,1453,30,120
2008,1453,20,60
2009,1453,20,60
2006,1455,0,0
2006,1456,0,0
2007,1456,10,0
2008,1456,30,0
2009,1456,20,0
2006,1461,10,60
2007,1461,20,60
2008,1461,60,60
2009,1461,20,120
2006,1462,20,0
2007,1462,10,0
2008,1462,60,0
2009,1462,20,0
2006,1469,0,0
2007,1469,30,0
2008,1469,60,0
2009,1469,60,0
2006,1472,0,0
2008,1472,0,0
2009,1472,0,0
2006,1473,0,0
2007,1473,0,0
2008,1473,0,0
2009,1473,0,0
2006,1475,0,0
2007,1475,0,0
2008,1475,40,0
2009,1475,10,0
2006,1477,0,0
2007,1477,0,0
2008,1477,0,0
2009,1477,0,0
2006,1482,0,60
2007,1483,0,0
2009,1483,0,0
2006,1484,120,60
2007,1484,120,20
2008,1484,80,60
2009,1484,80,30
2006,1485,0,0
2008,1485,0,0
2009,1485,30,30
2006,1486,0,0
2007,1486,0,0
2008,1486,0,0
2009,1486,0,0
2006,1489,0,0
2006,1494,0,60
2007,1494,20,120
2006,1495,0,60
2007,1495,20,0
2006,1501,15,220
2007,1501,10,120
2008,1501,0,180
2006,1503,20,30
2007,1503,10,40
2008,1503,40,160
2006,1507,20,60
